epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,363.03,4.20247,19.8024,0.01263,0,0,0,0,3.95882,18.1955,0.0105,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664,0.00997992,0.00332664
2,707.321,3.3322,9.22745,0.00601,0.39094,0.02531,0.01629,0.00774,2.82888,6.91554,0.004,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701,0.019881,0.00662701
3,1042.91,2.61233,4.51145,0.00355,0.32205,0.15869,0.07166,0.03248,2.22956,3.57252,0.00276,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437,0.0296831,0.00989437
4,1384.95,2.32251,3.09909,0.00302,0.36394,0.14812,0.09673,0.05087,2.14029,2.87154,0.0026,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1724.2,2.13089,2.63672,0.00254,0.33954,0.23311,0.15219,0.08936,1.77557,2.2931,0.00201,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2059.18,1.99546,2.38705,0.00231,0.37339,0.2849,0.17695,0.09666,1.76827,2.16714,0.00201,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2382.14,1.89845,2.24325,0.00217,0.46834,0.29005,0.21111,0.12598,1.59503,1.94208,0.00176,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2706.22,1.84881,2.14485,0.00204,0.4232,0.30732,0.22203,0.13277,1.60471,1.88284,0.00178,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3026.33,1.78575,2.04003,0.00201,0.39906,0.31245,0.22889,0.13908,1.53822,1.821,0.00166,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3353.66,1.74522,1.97269,0.00187,0.4077,0.35506,0.25086,0.15387,1.51197,1.74459,0.00163,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3677.48,1.7384,1.94946,0.00187,0.38126,0.35676,0.26204,0.16215,1.49926,1.74196,0.00162,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4005.08,1.70399,1.90593,0.00184,0.48702,0.3434,0.28089,0.17828,1.44506,1.71546,0.00154,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4352.32,1.67278,1.86219,0.00177,0.40721,0.37799,0.29234,0.19038,1.40449,1.61386,0.00149,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4668.19,1.65233,1.81866,0.00176,0.43308,0.35894,0.293,0.18965,1.42483,1.60985,0.00149,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4984.68,1.63347,1.81139,0.00174,0.43992,0.38081,0.3123,0.20515,1.40945,1.54521,0.00149,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5298.32,1.61628,1.76178,0.00169,0.43825,0.39655,0.32209,0.20832,1.40007,1.55587,0.00145,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5613.89,1.61302,1.76406,0.00171,0.4098,0.39798,0.32798,0.21488,1.39592,1.53782,0.00145,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5928.33,1.58767,1.73267,0.00166,0.31779,0.42419,0.33358,0.22251,1.36365,1.52464,0.00143,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6240.88,1.57678,1.6934,0.00163,0.44595,0.4289,0.35347,0.23837,1.36065,1.45011,0.00141,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,6552.99,1.5598,1.65883,0.0016,0.39547,0.43293,0.35427,0.23887,1.33363,1.45789,0.00138,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,6866.69,1.56742,1.66062,0.0016,0.45017,0.41631,0.3662,0.24433,1.34523,1.45272,0.00139,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7177.63,1.54905,1.64895,0.00158,0.42904,0.41321,0.37295,0.25459,1.32989,1.40518,0.00135,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,7491.95,1.53228,1.61966,0.00158,0.47202,0.43006,0.37295,0.25364,1.32165,1.4032,0.00135,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,7812.6,1.54845,1.6081,0.00157,0.41206,0.44766,0.37178,0.25476,1.32897,1.39404,0.00135,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,8131.51,1.54055,1.61259,0.00157,0.44639,0.44265,0.37589,0.25714,1.32046,1.395,0.00135,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,8446.73,1.51593,1.58739,0.00153,0.44706,0.4274,0.38369,0.26531,1.28156,1.37772,0.0013,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,8762.41,1.50677,1.5515,0.00154,0.39699,0.47262,0.40001,0.27496,1.28898,1.35365,0.00133,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,9076.45,1.50929,1.55661,0.00152,0.47224,0.41238,0.38991,0.26955,1.28292,1.34792,0.00131,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,9393.66,1.50406,1.56474,0.00154,0.38962,0.48534,0.40777,0.28386,1.28185,1.32993,0.00133,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,9712.25,1.48666,1.53638,0.0015,0.43376,0.45201,0.40941,0.28256,1.26094,1.32094,0.00128,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,10034.6,1.49565,1.53377,0.0015,0.41072,0.48478,0.4215,0.29338,1.26619,1.29729,0.00128,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,10352.5,1.49239,1.51471,0.0015,0.43871,0.48839,0.42615,0.2949,1.27546,1.28979,0.00131,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,10671.8,1.47905,1.5055,0.0015,0.42417,0.48024,0.43235,0.30125,1.25278,1.27162,0.00126,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
