epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,10821.2,1.4607,1.2944,0.00141,0.53164,0.58212,0.57935,0.41541,1.21545,1.08496,0.00119,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,11165.7,1.45853,1.27067,0.0014,0.59049,0.54037,0.58384,0.41504,1.21904,1.07618,0.00119,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11502.2,1.44807,1.27622,0.0014,0.54632,0.56274,0.59248,0.42266,1.24481,1.06494,0.00122,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,11836.5,1.45943,1.26012,0.00137,0.56709,0.56666,0.59263,0.42212,1.23576,1.0388,0.00122,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12168.7,1.44596,1.25732,0.0014,0.58827,0.56399,0.59019,0.425,1.22099,1.0454,0.00119,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,12502,1.43752,1.24399,0.00138,0.58126,0.61508,0.61458,0.44339,1.20399,1.02693,0.00118,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,12837.7,1.43909,1.23643,0.00138,0.56697,0.59343,0.61619,0.44035,1.20652,1.0271,0.00118,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,13171.6,1.43046,1.22706,0.00137,0.61893,0.58516,0.63564,0.46052,1.20795,0.99705,0.00118,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,13506.8,1.4336,1.21166,0.00137,0.60315,0.6116,0.63739,0.4615,1.18635,1.00276,0.00116,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,13841.7,1.41529,1.18667,0.00136,0.59896,0.59174,0.6338,0.45406,1.18976,1.00134,0.00117,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
