epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,434.963,4.07949,17.375,0.01205,6e-05,0.00047,0,0,3.84727,14.9717,0.00797,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777,0.00998331,0.00332777
2,867.01,3.09571,8.25071,0.00555,0.48186,0.06111,0.03458,0.01648,2.42714,5.34982,0.0032,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813,0.0198844,0.00662813
3,1290.19,2.44579,4.04491,0.00345,0.36016,0.12257,0.08535,0.04083,2.18159,3.07758,0.00259,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549,0.0296865,0.00989549
4,1711.76,2.13214,2.86408,0.00274,0.42435,0.21951,0.13753,0.07931,1.88757,2.44685,0.00221,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2132.25,1.96117,2.44937,0.00239,0.37599,0.26101,0.17421,0.10144,1.70129,2.09376,0.00191,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2550.78,1.81526,2.20684,0.00218,0.34629,0.30463,0.20918,0.13019,1.61298,1.92945,0.00176,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2969.39,1.75192,2.10025,0.00205,0.3217,0.34339,0.22642,0.13746,1.55371,1.85014,0.00167,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3382.65,1.70397,2.01834,0.00195,0.268,0.34716,0.23306,0.14295,1.50944,1.81892,0.00162,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3792.69,1.65056,1.94868,0.00187,0.29131,0.35914,0.24339,0.15343,1.48364,1.73479,0.00157,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4205.64,1.62911,1.9155,0.00183,0.37071,0.37247,0.26341,0.16943,1.44305,1.69162,0.0015,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4609.89,1.6163,1.86972,0.0018,0.34496,0.37983,0.2833,0.18421,1.40942,1.6347,0.00146,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5007.14,1.58542,1.82003,0.00177,0.37224,0.37884,0.28566,0.18422,1.41694,1.57868,0.00149,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5406.05,1.56992,1.79161,0.00173,0.3419,0.38499,0.30383,0.19617,1.41052,1.57032,0.00147,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5800.23,1.54269,1.74443,0.00169,0.38931,0.40354,0.32356,0.21262,1.36799,1.52033,0.00142,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6194.48,1.53029,1.73394,0.00168,0.35267,0.40188,0.32959,0.22092,1.36184,1.50324,0.00141,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6591.67,1.52684,1.71506,0.00165,0.41504,0.40805,0.3432,0.23231,1.33915,1.48537,0.00139,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6988.62,1.51185,1.69185,0.00163,0.38275,0.39855,0.35118,0.23649,1.33011,1.43133,0.00137,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7386.73,1.50804,1.67035,0.00165,0.46408,0.42778,0.3666,0.2487,1.31606,1.43602,0.00135,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
