epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,13052.8,1.41489,1.48448,0.0015,0.49063,0.49127,0.45207,0.32238,1.24185,1.25851,0.00123,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,13464.5,1.421,1.46079,0.00149,0.42937,0.49603,0.46216,0.32726,1.23089,1.25722,0.00123,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13870.9,1.42632,1.47733,0.0015,0.49088,0.50123,0.47071,0.33347,1.24657,1.24961,0.00124,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,14276.8,1.41814,1.45446,0.0015,0.49335,0.49353,0.47038,0.33581,1.2302,1.23916,0.00122,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,14680.7,1.39454,1.44665,0.0015,0.48289,0.4967,0.48443,0.3473,1.22867,1.20126,0.00122,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,15087.8,1.40559,1.43663,0.00147,0.44983,0.52028,0.49175,0.35351,1.20766,1.19922,0.00119,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,15497,1.41444,1.43124,0.00147,0.47797,0.50722,0.49216,0.35592,1.20839,1.18625,0.00121,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,15926,1.40541,1.42992,0.00148,0.49199,0.51208,0.49808,0.35863,1.21078,1.19163,0.0012,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,16350.6,1.4061,1.40965,0.00147,0.48265,0.52027,0.51199,0.36798,1.20829,1.16477,0.0012,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,16756,1.39716,1.40661,0.00147,0.48646,0.50768,0.50003,0.36098,1.19077,1.17749,0.00118,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,17150.5,1.39838,1.41115,0.00147,0.46816,0.53555,0.5204,0.37476,1.19262,1.13793,0.00118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,17545.4,1.38885,1.39174,0.00148,0.50343,0.52114,0.52608,0.38328,1.19171,1.15534,0.00117,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,17938.3,1.37913,1.36041,0.00147,0.53432,0.51095,0.52425,0.38205,1.18136,1.13342,0.00116,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,18330.8,1.3848,1.37758,0.00145,0.52379,0.51953,0.52845,0.38593,1.17646,1.12776,0.00116,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,18730.8,1.39655,1.35474,0.00146,0.51103,0.53805,0.53598,0.39331,1.17517,1.1187,0.00116,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,19135.2,1.36773,1.33537,0.00143,0.57069,0.51162,0.5409,0.39555,1.18836,1.11166,0.00117,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,19541.2,1.37733,1.33176,0.00144,0.5325,0.51007,0.54677,0.39875,1.18565,1.10586,0.00117,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,19953.6,1.3948,1.35815,0.00143,0.53254,0.53009,0.54406,0.39805,1.17915,1.10378,0.00116,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,20355.4,1.37458,1.32735,0.00144,0.54468,0.53845,0.56033,0.41209,1.17512,1.08413,0.00116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,20757.4,1.37728,1.31775,0.00144,0.55099,0.54706,0.56567,0.41499,1.17463,1.07311,0.00115,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,21155.8,1.36857,1.31415,0.00143,0.52248,0.57075,0.56454,0.41434,1.16738,1.07838,0.00115,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,21557.2,1.36782,1.30118,0.00142,0.56074,0.56795,0.57859,0.42654,1.16842,1.05478,0.00115,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,21959.5,1.37163,1.2941,0.0014,0.54875,0.55737,0.57928,0.42702,1.1671,1.05493,0.00114,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,22365.5,1.36326,1.29501,0.00142,0.5651,0.56279,0.58122,0.42763,1.16303,1.05104,0.00114,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,22774.3,1.36521,1.26775,0.0014,0.55681,0.55775,0.58345,0.43138,1.16239,1.05888,0.00114,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,23182,1.37907,1.26658,0.00143,0.58795,0.53495,0.58398,0.42888,1.16472,1.05149,0.00114,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
