epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,13139,1.40744,1.45753,0.0015,0.43215,0.51141,0.45592,0.32275,1.22548,1.24775,0.00122,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,13540.1,1.41469,1.4516,0.00149,0.46939,0.50356,0.47905,0.342,1.21917,1.20694,0.00123,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13951,1.4171,1.46016,0.00149,0.43677,0.52953,0.48473,0.3438,1.22381,1.22318,0.00123,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,14359.1,1.41348,1.43262,0.0015,0.50278,0.50775,0.49014,0.34976,1.22167,1.19444,0.00123,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,14762.4,1.39251,1.42009,0.00149,0.49082,0.51491,0.49416,0.35528,1.20884,1.1679,0.00121,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,15166.9,1.39723,1.41855,0.00147,0.44413,0.53192,0.49739,0.35453,1.19562,1.16699,0.0012,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,15578.9,1.40775,1.41272,0.00147,0.4849,0.52412,0.50296,0.35828,1.21107,1.16325,0.00122,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,16005,1.39683,1.39999,0.00147,0.45166,0.5223,0.50343,0.35909,1.20605,1.16674,0.0012,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,16443.3,1.40234,1.39233,0.00147,0.46187,0.52918,0.50961,0.36699,1.197,1.15693,0.00119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,16857.2,1.39078,1.38201,0.00146,0.52578,0.50951,0.51348,0.37085,1.20022,1.13312,0.0012,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,17270.8,1.3894,1.3806,0.00146,0.48309,0.54652,0.52566,0.37816,1.18912,1.13415,0.00119,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,17681.6,1.38554,1.3766,0.00147,0.45847,0.53729,0.52542,0.3807,1.17905,1.12632,0.00118,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,18084.5,1.3753,1.347,0.00147,0.49959,0.52116,0.53195,0.38554,1.17792,1.11097,0.00117,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,18487.5,1.38185,1.36693,0.00145,0.47709,0.53636,0.53212,0.38115,1.18911,1.11823,0.00118,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,18893.8,1.38433,1.33761,0.00144,0.48971,0.56266,0.53,0.3814,1.1786,1.11382,0.00117,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,19304.6,1.36577,1.32207,0.00143,0.46714,0.54213,0.54558,0.39466,1.17582,1.09659,0.00117,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,19750.3,1.37687,1.32511,0.00144,0.45725,0.5703,0.54346,0.39392,1.16439,1.1017,0.00115,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,20161.3,1.38554,1.32763,0.00143,0.53723,0.50192,0.54624,0.39478,1.17316,1.09307,0.00116,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,20564.5,1.37148,1.31521,0.00144,0.52417,0.55456,0.55648,0.40595,1.16392,1.07855,0.00116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,20966.4,1.3593,1.29899,0.00142,0.51339,0.56157,0.55494,0.40562,1.16277,1.07424,0.00116,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,21360.2,1.36927,1.30016,0.00143,0.52165,0.56032,0.56699,0.41269,1.17155,1.06294,0.00116,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,21755.2,1.36422,1.28251,0.00142,0.55578,0.56777,0.57726,0.42297,1.15911,1.045,0.00115,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,22148.2,1.36466,1.27374,0.0014,0.52693,0.55664,0.56577,0.41446,1.16554,1.0474,0.00115,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,22544.4,1.35971,1.26892,0.00142,0.56575,0.54356,0.57206,0.41886,1.16119,1.04846,0.00115,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,22961.5,1.36035,1.24701,0.00139,0.55276,0.57266,0.57346,0.41768,1.15894,1.04179,0.00114,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,23375.4,1.36977,1.25351,0.00142,0.54181,0.56441,0.58054,0.42349,1.15193,1.03606,0.00114,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
