epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,12920.1,1.4289,1.50473,0.00152,0.39395,0.50297,0.434,0.29992,1.27025,1.26367,0.00125,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,13322.8,1.43498,1.48511,0.0015,0.38682,0.49215,0.44004,0.30368,1.25002,1.27013,0.00124,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,13730.4,1.43245,1.49372,0.0015,0.38154,0.48751,0.43888,0.30699,1.24171,1.2652,0.00123,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,14135.9,1.42442,1.47255,0.0015,0.43986,0.47813,0.45253,0.31767,1.24341,1.23891,0.00123,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,14535.7,1.40471,1.45702,0.0015,0.44627,0.48073,0.45621,0.32119,1.23533,1.22048,0.00121,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,14940.1,1.41439,1.45063,0.00148,0.44708,0.48851,0.46654,0.33061,1.22146,1.21713,0.00119,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,15346.6,1.42791,1.45161,0.00148,0.48075,0.48901,0.46616,0.33066,1.22789,1.20399,0.00121,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,15750.7,1.41312,1.43864,0.00147,0.48981,0.47241,0.47507,0.33539,1.2136,1.18896,0.00119,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,16150,1.41265,1.42678,0.00147,0.4478,0.52621,0.47903,0.3368,1.21664,1.19634,0.00121,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,16545,1.41358,1.43147,0.00148,0.50876,0.46463,0.48214,0.34257,1.21728,1.17567,0.00119,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,16942.5,1.40869,1.41662,0.00147,0.5008,0.51447,0.5024,0.35787,1.20775,1.17136,0.00119,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,17336,1.40411,1.40913,0.00148,0.44091,0.51032,0.50844,0.36265,1.21252,1.15773,0.00119,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,17731.9,1.38823,1.38324,0.00148,0.51146,0.51337,0.503,0.35954,1.20125,1.15125,0.00118,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,18131,1.39766,1.38606,0.00146,0.45349,0.53598,0.50852,0.36292,1.19611,1.14868,0.00118,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
